"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","officeRole","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","usedDisasterWindows","run_id","run_duration"
"158",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,142,18,140,19,468,657,36,13,13,5,0,2,19.8938796520233
"159",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,121,26,134,13,440,626,33,19,19,7,1,9,18.3139357566833
"160",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,137,33,104,20,399,555,26,26,26,7,3,23,10.7263658046722
"161",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,132,27,119,21,492,660,30,19,19,8,2,21,35.3571763038635
"162",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,140,35,97,19,450,589,17,25,25,10,1,10,26.4967501163483
"163",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,138,32,135,23,436,615,23,21,21,11,4,4,17.77081823349
"164",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,130,16,131,21,450,638,43,14,14,2,0,1,13.620480298996
"165",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,123,28,119,12,439,595,15,22,22,6,1,15,12.8796143531799
"166",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,126,24,167,17,405,595,5,18,18,6,0,22,24.2246510982513
"167",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,124,25,146,19,392,582,25,19,19,6,1,24,20.288948059082
"168",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,125,28,117,26,423,585,21,24,24,4,2,12,15.799414396286
"169",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,136,22,108,28,434,611,54,15,15,7,0,11,13.6330013275146
"170",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,139,16,126,17,418,603,46,13,13,3,0,13,13.2369909286499
"171",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,134,47,94,18,429,572,15,34,34,13,3,14,13.4678499698639
