agencyid,agency,logcapZscore,region,countyfips5,totalDeclaration,declarationProb,Success Rate,DisasterProb,state,statefull,FTARegion,ewfreq,ewprob,ewbiggerthanDisaster,declarationRate,ewThreshold,disasterThreshold,expectedBadWeatherSeverity
7016,Columbia Transit,-1.167233089,midwest,29019,17,0.074561404,0.67,0.111285678,MO,Missouri,FTA Region7,13,0.12,TRUE,0.049956141,5.286985779,5.352496751,4.771594875
6019,City of Albuquerque Transit Department,0.170543059,west,35001,3,0.013157895,0.67,0.019638649,NM,New Mexico,FTA Region6,11,0.067,TRUE,0.00881579,5.275732651,5.428286167,5.109256196
7003,City Utilities of Springfield,-0.9053719,midwest,29077,17,0.074561404,0.67,0.111285678,MO,Missouri,FTA Region7,8,0.12,TRUE,0.049956141,5.298689234,5.361820251,4.783353063
6111,Rio Metro Regional Transit District,-0.020044221,west,35001,3,0.013157895,0.67,0.019638649,NM,New Mexico,FTA Region6,5,0.067,TRUE,0.00881579,5.283260663,5.459742651,5.000500019
3085,Prince George's County Transit,-0.174815337,south,24033,10,0.043859649,0.68,0.064499484,MD,Maryland,FTA Region3,14,0.107,TRUE,0.029824561,5.290522768,5.379259829,4.868629437
3051,Ride-On Montgomery County Transit,0.775566087,south,24031,12,0.052631579,0.68,0.077399381,MD,Maryland,FTA Region3,14,0.107,TRUE,0.035789474,5.277754951,5.379410051,4.825897719
3072,Transit Services of Frederick County,-1.21925063,south,24021,10,0.043859649,0.68,0.064499484,MD,Maryland,FTA Region3,12,0.107,TRUE,0.029824561,5.280180992,5.362149719,4.690490091
3034,Maryland Transit Administration,1.943459304,south,24510,0,0,0.68,0,MD,Maryland,FTA Region3,8,0.107,TRUE,0,5.283972034,5.587666415,5.080564406
5057,Rock Island County Metropolitan Mass Transit District,-0.445013974,midwest,17161,5,0.021929825,0.69,0.031782355,IL,Illinois,FTA Region5,20,0.12,TRUE,0.015131579,5.287470751,5.518134482,4.643274012
5066,Chicago Transit Authority,2.491506399,midwest,17031,7,0.030701754,0.69,0.044495296,IL,Illinois,FTA Region5,18,0.12,TRUE,0.02118421,5.280454694,5.466163034,4.719548932
5056,Greater Peoria Mass Transit District,-0.215963585,midwest,17143,6,0.026315789,0.69,0.038138825,IL,Illinois,FTA Region5,17,0.12,TRUE,0.018157894,5.29955599,5.479709496,5.026857884
5058,Rockford Mass Transit District,-0.554425243,midwest,17201,9,0.039473684,0.69,0.057208238,IL,Illinois,FTA Region5,15,0.12,TRUE,0.027236842,5.291549272,5.434092332,5.167357021
5118,Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail,2.028222426,midwest,17031,7,0.030701754,0.69,0.044495296,IL,Illinois,FTA Region5,13,0.12,TRUE,0.02118421,5.299886954,5.462928659,4.371692136
5146,Madison County Transit District,-0.28142453,midwest,17119,4,0.01754386,0.69,0.025425884,IL,Illinois,FTA Region5,12,0.12,TRUE,0.012105263,5.279590058,5.4905683,4.43311756
5047,Bloomington-Normal Public Transit System,-0.864766521,midwest,17113,4,0.01754386,0.69,0.025425884,IL,Illinois,FTA Region5,10,0.12,TRUE,0.012105263,5.280536748,5.498434592,4.764267838
5059,Springfield Mass Transit District,-0.629257591,midwest,17167,5,0.021929825,0.69,0.031782355,IL,Illinois,FTA Region5,9,0.12,TRUE,0.015131579,5.285368806,5.528914837,5.261815189
5060,Champaign-Urbana Mass Transit District,-0.052918127,midwest,17019,3,0.013157895,0.69,0.019069413,IL,Illinois,FTA Region5,3,0.12,TRUE,0.009078948,5.290522716,5.556708396,5.013563325
4029,Broward County Transit Division,0.866136725,south,12011,14,0.061403509,0.7,0.087719299,FL,Florida,FTA Region4,20,0.107,TRUE,0.042982456,5.287836434,5.358493984,4.727794676
5004,LaCrosse Municipal Transit Utility,-1.241111742,midwest,55063,8,0.035087719,0.7,0.050125313,WI,Wisconsin,FTA Region5,19,0.12,TRUE,0.024561403,5.299207393,5.425516243,4.893799564
5001,City of Appleton - Valley Transit,-0.955526874,midwest,55087,3,0.013157895,0.7,0.018796993,WI,Wisconsin,FTA Region5,17,0.12,TRUE,0.009210526,5.283681952,5.514200911,4.905042676
4031,Lakeland Area Mass Transit District,-0.920652355,south,12105,13,0.057017544,0.7,0.081453634,FL,Florida,FTA Region4,17,0.107,TRUE,0.039912281,5.290268188,5.37582885,5.125763997
9151,Southern California Regional Rail Authority dba: Metrolink,1.170708826,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,16,0.067,TRUE,0.018421052,5.287999969,5.371862666,4.97312671
4037,"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",0.572788759,south,12099,14,0.061403509,0.7,0.087719299,FL,Florida,FTA Region4,16,0.107,TRUE,0.042982456,5.289349665,5.345405058,5.226115512
4027,Pinellas Suncoast Transit Authority,0.403995953,south,12103,10,0.043859649,0.7,0.062656641,FL,Florida,FTA Region4,15,0.107,TRUE,0.030701754,5.295651335,5.433282214,5.26141618
9015,San Francisco Municipal Railway,2.062242298,west,6075,1,0.004385965,0.7,0.006265664,CA,California,FTA Region9,14,0.067,TRUE,0.003070176,5.278409227,5.397630674,4.992399092
5006,Belle Urban System - Racine,-0.918762523,midwest,55101,8,0.035087719,0.7,0.050125313,WI,Wisconsin,FTA Region5,14,0.12,TRUE,0.024561403,5.29607514,5.418649243,4.969936767
5005,Metro Transit System,0.29538304,midwest,55025,9,0.039473684,0.7,0.056390977,WI,Wisconsin,FTA Region5,14,0.12,TRUE,0.027631579,5.274842613,5.413444061,5.048986589
9208,Butte County Association of Governments,-0.93098225,west,6007,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,12,0.067,TRUE,0.012280702,5.275239352,5.373893515,4.531872214
9031,Riverside Transit Agency,0.303482857,west,6065,7,0.030701754,0.7,0.043859649,CA,California,FTA Region9,12,0.067,TRUE,0.021491228,5.276294468,5.32642608,4.730855917
9079,SunLine Transit Agency,-0.250644816,west,6065,7,0.030701754,0.7,0.043859649,CA,California,FTA Region9,12,0.067,TRUE,0.021491228,5.284611442,5.340304879,5.039452282
4140,Collier Area Transit,-0.891562641,south,12021,17,0.074561404,0.7,0.106516291,FL,Florida,FTA Region4,12,0.107,TRUE,0.052192983,5.294780131,5.341048544,5.275411481
9012,San Joaquin Regional Transit District,-0.089931088,west,6077,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,11,0.067,TRUE,0.012280702,5.290888304,5.442085736,4.672607671
9087,Santa Maria Area Transit,-1.187325542,west,6083,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,11,0.067,TRUE,0.018421052,5.268253156,5.344861032,4.850396269
5002,Green Bay Metro,-1.032148647,midwest,55009,2,0.00877193,0.7,0.012531329,WI,Wisconsin,FTA Region5,10,0.12,TRUE,0.006140351,5.295000443,5.536317136,5.21724206
4063,Space Coast Area Transit,-0.775084979,south,12009,13,0.057017544,0.7,0.081453634,FL,Florida,FTA Region4,10,0.107,TRUE,0.039912281,5.294732065,5.375190935,4.512962328
9027,Fresno Area Express,0.21755545,west,6019,2,0.00877193,0.7,0.012531329,CA,California,FTA Region9,9,0.067,TRUE,0.006140351,5.280561729,5.446736303,4.882555288
9013,Santa Clara Valley Transportation Authority,1.598735372,west,6085,3,0.013157895,0.7,0.018796993,CA,California,FTA Region9,9,0.067,TRUE,0.009210526,5.295257894,5.430886777,4.813094385
9182,Altamont Corridor Express,-0.437858952,west,6077,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,9,0.067,TRUE,0.012280702,5.286320426,5.426670707,5.115100684
4030,Gainesville Regional Transit System,-0.249073905,south,12001,10,0.043859649,0.7,0.062656641,FL,Florida,FTA Region4,9,0.107,TRUE,0.030701754,5.290175972,5.425300104,5.042927034
4028,Lee County Transit,-0.334766458,south,12071,13,0.057017544,0.7,0.081453634,FL,Florida,FTA Region4,9,0.107,TRUE,0.039912281,5.285760973,5.377483085,5.286683705
9147,City of Los Angeles Department of Transportation,0.52060753,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,8,0.067,TRUE,0.018421052,5.284859259,5.331414576,5.09677233
9090,Yolo County Transportation District,-0.766001109,west,6113,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,7,0.067,TRUE,0.015350877,5.29014962,5.364422105,4.904167586
9162,The Eastern Contra Costa Transit Authority,-0.321692468,west,6013,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,7,0.067,TRUE,0.015350877,5.282552761,5.359171168,4.309615019
