,agencyid,logcapZscore,region,totalDiasaster,FTARegion,Success Rate,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
145,4047,-1.201181507,south,5,FTA Region4,0.53,0.125,0.065,6.36402196,6.479696528,6.509412381000001
146,5059,-0.629257591,midwest,5,FTA Region5,0.69,0.107,0.05,5.4027663839999995,5.539816158,5.4648664170000005
147,9090,-0.7660011090000001,west,5,FTA Region9,0.7,0.08,0.045,4.94515701,5.03971001,4.953851342
148,9162,-0.321692468,west,5,FTA Region9,0.7,0.08,0.045,4.952077962,5.051155926,4.9961993410000005
149,0024,0.14096937699999998,west,5,FTA Region10,0.74,0.08,0.045,4.952597032,5.059884876,4.997108749
150,9205,-0.924289441,west,5,FTA Region9,0.7,0.08,0.045,4.960643534,5.062743789,5.01739136
151,9078,-0.056138568,west,5,FTA Region9,0.7,0.08,0.045,4.9580074960000005,5.0411701980000005,4.98018688
152,4025,-0.46134677,south,5,FTA Region4,0.53,0.125,0.065,6.381901296000001,6.506490229,6.487826417999999
153,9036,1.3888112830000001,west,5,FTA Region9,0.7,0.08,0.045,4.956984291,5.051744001,4.998838759
154,9019,0.967301238,west,5,FTA Region9,0.7,0.08,0.045,4.948436605,5.047384111,4.96170172
155,9159,-0.899844713,west,5,FTA Region9,0.7,0.08,0.045,4.9708558080000005,5.081422064,5.052852037
156,9017,-0.7273452440000001,west,5,FTA Region9,0.7,0.08,0.045,4.944920563,5.0440906430000005,5.005435286
157,5031,0.7616637940000001,midwest,4,FTA Region5,0.72,0.107,0.05,5.387785654,5.526458923,5.515750242
158,4008,0.883091486,south,4,FTA Region4,0.63,0.125,0.065,6.367375344,6.480850665,6.447320489
159,5036,0.13878538599999998,midwest,4,FTA Region5,0.72,0.107,0.05,5.395895689,5.535750145,5.503134727999999
160,9208,-0.93098225,west,4,FTA Region9,0.7,0.08,0.045,4.9607740069999995,5.043317292,4.97283747
161,5146,-0.28142453,midwest,4,FTA Region5,0.69,0.107,0.05,5.397450702,5.529565858,5.489599664
162,9012,-0.089931088,west,4,FTA Region9,0.7,0.08,0.045,4.965585487,5.074703689,4.977154515
163,9045,1.133009717,west,4,FTA Region9,0.53,0.08,0.045,4.959126357,5.070227093,5.020901627
164,3013,-0.43993958899999996,northeast,4,FTA Region3,0.79,0.12,0.06,5.875349798999999,5.9872767389999995,5.974901458
165,5047,-0.864766521,midwest,4,FTA Region5,0.69,0.107,0.05,5.390080459,5.535418541,5.464101808
166,0025,-0.014752278,west,4,FTA Region10,0.88,0.08,0.045,4.9466966889999995,5.056273457,5.012315175
167,9182,-0.437858952,west,4,FTA Region9,0.7,0.08,0.045,4.950138475,5.034163083999999,5.014801008
168,9172,0.046451654,west,4,FTA Region9,0.74,0.08,0.045,4.938909959,5.050041643999999,4.978005448999999
