"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/11/2020 22:31:43:425 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"52","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","58","11417.80321637197","10659","1763","696","131","5","756","157","826","9","18","18","40","0","944","9"
"49","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","59","10036.682031715967","10659","1585","607","90","5","768","93","758","4","22","22","37","0","830","18"
"51","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","24","10127.155070883979","10659","1614","1152","48","5","338","62","808","3","9","9","15","0","814","6"
"55","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","61","10160.975768727983","10659","1656","702","77","8","738","102","765","13","29","29","32","0","891","16"
"54","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","35","11154.059432195967","10659","1709","1136","38","16","451","55","820","12","13","13","22","0","890","1"
"56","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","43","10665.508764659964","10659","1652","831","81","2","609","109","792","13","20","20","23","0","866","7"
"57","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","32","11180.316876983963","10659","1709","1167","35","6","441","49","840","3","11","11","21","0","873","8"
"59","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","10667.25731333599","10659","1661","820","110","6","547","159","806","7","19","19","26","0","858","13"
"58","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","56","10361.79370423998","10659","1668","658","111","7","706","163","781","13","23","23","33","0","890","10"
"60","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","17","10291.592888015983","10659","1630","1214","96","10","188","112","768","7","10","10","7","0","866","3"
"61","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","68","10650.754347887982","10659","1660","618","84","4","790","136","785","13","28","28","40","0","877","15"
"62","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","36","10938.998421983944","10659","1717","982","125","8","451","137","756","2","14","14","22","0","965","12"
"63","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","32","10840.88161611999","10659","1638","1119","59","2","384","59","789","6","15","15","17","0","852","9"
"64","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","59","11109.83491833198","10659","1691","661","73","8","817","106","767","9","26","26","33","0","926","18"
"67","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","60","11012.744817351968","10659","1703","602","175","6","700","194","781","10","26","26","34","0","927","16"
"68","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","42","10882.756007424005","10659","1694","879","103","7","577","112","775","6","16","16","26","0","921","10"
"69","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","36","11071.886058839977","10659","1726","1235","47","6","346","79","782","4","13","13","23","0","948","9"
"66","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","26","10679.880951247944","10659","1727","1259","51","6","357","47","844","2","7","7","19","0","887","5"
"70","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","61","10513.096547767978","10659","1690","602","194","8","618","246","826","5","22","22","39","0","873","17"
"71","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","10232.758985931969","10659","1636","793","134","4","540","148","758","6","17","17","28","0","883","11"
"65","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","40","11032.721742635955","10659","1754","807","178","11","530","203","852","12","25","25","15","0","906","13"
"74","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","56","10329.904717763973","10659","1659","769","58","4","740","65","797","12","23","23","33","0","867","11"
"72","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","21","10511.38536778799","10659","1689","1208","89","8","261","110","808","7","13","13","8","0","887","6"
"75","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","35","10114.520971307982","10659","1568","1007","42","14","434","60","764","4","11","11","24","0","807","7"
"77","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","10206.29808451597","10659","1640","822","92","3","563","147","803","8","13","13","32","0","841","5"
"76","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","58","10626.16885123999","10659","1661","685","73","9","777","98","759","5","19","19","39","0","904","14"
"73","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","51","10751.920940375972","10659","1699","759","87","11","726","93","822","11","23","23","28","0","881","12"
"78","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","21","9927.641333603971","10659","1614","1190","57","4","272","81","810","4","10","10","11","0","807","7"
"81","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","29","11167.164019447971","10659","1733","1204","53","2","392","75","811","3","7","7","22","0","925","4"
"80","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","39","10828.612729683973","10659","1720","1002","80","8","523","88","832","8","19","19","20","0","891","11"
"79","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","60","10168.014840131991","10659","1609","610","101","9","736","127","800","9","26","26","34","0","814","17"
"83","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","43","10750.660491159964","10659","1678","886","71","5","587","108","794","11","21","21","22","0","886","10"
"82","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","67","10058.701147803962","10659","1624","631","100","3","725","141","790","10","24","24","43","0","839","14"
"84","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","27","10562.084232787995","10659","1684","1171","72","8","339","80","777","5","14","14","13","0","909","9"
"85","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","52","10270.670098299961","10659","1645","706","181","6","557","165","749","12","30","30","22","0","899","18"
"86","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","11012.417331199968","10659","1672","799","112","5","596","139","791","10","21","21","24","0","882","11"
"88","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","61","10172.354433463961","10659","1666","635","145","4","693","165","790","9","24","24","37","0","877","15"
"87","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","32","11182.25976253195","10659","1764","1147","67","5","414","121","815","6","10","10","22","0","955","4"
"92","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","52","10424.860082783971","10659","1674","786","116","9","574","165","766","12","24","24","28","0","909","12"
"90","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","23","11002.84727648394","10659","1713","1267","36","9","315","70","831","8","16","16","7","0","884","8"
"89","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","41","10475.21231911197","10659","1640","876","90","5","542","113","820","7","14","14","27","0","820","7"
"91","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","10995.553255163963","10659","1710","773","119","6","628","164","812","5","20","20","30","0","904","15"
"94","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","51","9873.180826547969","10659","1570","610","125","8","623","181","778","11","23","23","28","0","793","12"
"95","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10375.811869523977","10659","1627","826","131","8","499","149","771","6","14","14","30","0","859","8"
"98","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10551.637004775965","10659","1688","817","109","10","613","121","820","10","18","18","26","0","871","8"
"96","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","22","11127.77257913193","10659","1735","1228","72","8","331","87","827","2","9","9","13","0","916","7"
"99","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","18","10808.18787364796","10659","1643","1171","78","15","295","73","800","6","11","11","7","0","844","5"
"97","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","54","10213.754333279972","10659","1620","647","112","11","688","142","788","8","20","20","34","0","837","12"
"93","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","24","10453.74913534797","10659","1645","1079","71","14","356","113","790","7","12","12","12","0","859","5"
"100","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","63","11204.356371827964","10659","1717","692","57","5","850","93","804","8","20","20","43","0","917","12"
"105","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","26","10603.223184343988","10659","1646","1157","53","7","305","116","796","5","8","8","18","0","852","3"
"104","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","46","11085.203644147941","10659","1705","847","96","5","625","106","798","9","26","26","20","0","911","17"
"102","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","22","10620.391234667995","10659","1677","1135","113","12","272","135","771","4","10","10","12","0","910","6"
"103","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","58","10897.299197439952","10659","1686","621","154","4","702","183","830","10","22","22","36","0","856","12"
"101","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10183.284921655995","10659","1637","868","50","3","621","78","760","6","17","17","27","0","879","11"
"107","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","43","10964.643332227966","10659","1745","980","83","8","555","101","827","6","18","18","25","0","921","12"
"106","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","54","10267.739720103966","10659","1661","681","175","17","565","203","803","5","20","20","34","0","862","15"
"109","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","76","10625.405023367945","10659","1707","649","76","4","843","106","821","17","29","29","47","0","887","12"
"108","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","31","10721.393901431977","10659","1718","1202","30","5","388","77","792","7","16","16","15","0","928","9"
"111","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","33","10734.297749107984","10659","1676","1030","78","8","440","106","826","8","14","14","19","0","853","6"
"110","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","52","10350.413111143991","10659","1610","709","58","5","727","93","825","9","18","18","34","0","789","9"
"112","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","59","10603.190488935967","10659","1658","617","110","4","770","130","828","12","27","27","32","0","831","15"
"113","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","9928.303727207976","10659","1621","784","123","9","523","162","748","6","20","20","30","0","876","14"
"115","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","55","10579.955153667983","10659","1696","708","129","8","690","139","803","9","22","22","33","0","895","13"
