"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"nonRandomWindows"
"02/08/2020 22:24:42:020 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","increaseChance","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"112","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","1","true","false","true","true","false","1001","24","382","287","3409","3882","23","19","19","5","4"
"110","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","10","true","false","true","true","false","1001","32","1814","269","16622","18545","35","29","29","3","0"
"113","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","2","true","false","true","true","false","1001","20","521","301","5082","5685","11","16","16","4","1"
"114","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","3","true","false","true","true","false","1001","38","532","255","6173","6796","14","31","31","7","0"
"117","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","6","true","false","true","true","false","1001","54","841","248","9587","10529","13","44","44","10","1"
"115","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","4","true","false","true","true","false","1001","27","935","304","7667","8699","10","21","21","6","1"
"116","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","5","true","false","true","true","false","1001","51","735","253","8314","9127","17","35","35","16","2"
"118","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","7","true","false","true","true","false","1001","30","1369","282","12394","13847","15","22","22","8","1"
"119","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","8","true","false","true","true","false","1001","26","1153","315","14499","15719","5","21","21","5","1"
"125","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","3","true","false","true","true","false","1001","27","539","255","6511","7119","5","21","21","6","2"
"122","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","0","true","false","true","true","false","1001","17","151","319","1927","2172","33","16","16","1","0"
"124","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","2","true","false","true","true","false","1001","28","514","296","4779","5378","19","25","25","3","1"
"123","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","1","true","false","true","true","false","1001","24","275","315","3390","3742","17","19","19","5","2"
"120","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","9","true","false","true","true","false","1001","31","983","255","15654","16822","137","28","28","3","0"
"121","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","10","true","false","true","true","false","1001","48","1054","228","15647","16791","22","38","38","10","0"
"127","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0.03","5","true","false","true","true","false","1001","37","813","244","9024","9914","13","32","32","5","0"
