"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChance"
"02/16/2020 00:49:30:897 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"58","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","42","3723.8039144341456","839","239","4968","5885","4","35","35","7","1"
"59","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","25","4360.587226184344","828","281","6332","7258","21","24","24","1","1"
"85","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","18","1238.9718808710895","117","337","770","980","11","11","11","7","4"
"86","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","22","861.6992838772495","82","268","755","909","5","18","18","4","4"
"60","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","36","4138.882425883267","696","253","6713","7495","11","32","32","4","0"
"57","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","34","3936.6185663134743","658","297","4780","5552","35","24","24","10","3"
"87","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","20","756.3819651398092","66","289","727","882","21","18","18","2","5"
"88","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","28","1016.9783143247694","86","295","745","931","4","24","24","4","3"
"89","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","33","728.1593980590596","70","263","686","829","5","23","23","10","10"
"90","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","26","1039.6738703369701","113","360","780","986","6","17","17","9","3"
"72","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","32","1645.8676031115035","248","264","2010","2337","5","27","27","5","4"
"71","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","46","2023.5271774055418","367","254","2883","3428","98","39","39","7","0"
"76","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","51","2153.307353873042","377","255","3886","4346","1","33","33","18","0"
"75","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","24","3750.8807521303197","629","302","3647","4374","8","23","23","1","1"
"102","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","28","881.9447751161995","76","309","722","896","18","23","23","5","6"
"101","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","28","990.9037814247905","73","301","726","900","15","21","21","7","4"
"73","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","39","2123.7340548023103","349","253","2500","2926","9","31","31","8","1"
"103","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","27","827.7735132627292","73","318","813","971","8","22","22","5","7"
"104","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","28","697.8615115224596","57","269","732","871","8","22","22","6","3"
"74","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","47","1970.0990897042718","363","223","2764","3204","4","35","35","12","2"
"78","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","32","3920.2427334458735","757","275","5330","6175","19","32","32","0","0"
"79","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","52","4277.204712337944","823","227","5204","6127","10","41","41","11","1"
"77","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","38","3427.768053710557","650","242","4479","5203","5","28","28","10","0"
"105","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","26","652.8403322325898","69","278","687","830","9","16","16","10","7"
"106","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","30","899.4113782138801","79","311","685","854","5","23","23","7","9"
"107","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","25","917.6559989615994","86","308","733","915","17","22","22","3","5"
"80","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","44","4068.4146245550915","789","255","6069","6927","7","33","33","11","0"
"108","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","33","948.9703730547609","82","303","651","852","23","23","23","10","7"
"109","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","22","832.7732363721897","78","301","729","897","10","18","18","4","3"
"110","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","13","754.17994592649","77","300","811","974","32","11","11","2","2"
