"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/16/2020 12:58:05:716 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","startingFund","increaseChance","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","limitedFund?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"56","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","24","443.6561800380001","1056.3438199619989","86","277","711","886","11","22","22","2","3"
"59","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","30","351.177052518","1148.8229474819982","77","273","713","860","6","21","21","9","6"
"58","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","11","488.2451060919997","1011.7548939079996","110","291","745","938","18","11","11","0","2"
"41","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","64","719.2705301579994","780.729469841999","258","198","3011","3360","4","52","52","12","3"
"38","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","46","756.0988247799991","743.9011752199967","274","224","1730","2099","3","41","41","5","2"
"42","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","45","1249.7553209979983","250.24467900200045","546","217","4014","4635","3","40","40","5","2"
"40","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","45","768.7937110480003","731.2062889519988","298","237","3003","3391","3","39","39","6","0"
"37","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","35","592.0209892539995","907.9790107459969","144","246","1329","1577","37","29","29","6","5"
"39","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","33","1092.4101184360006","407.58988156399937","387","286","2513","3006","19","28","28","5","2"
"44","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","46","1370.295475020005","129.70452497999915","586","267","5029","5709","3","39","39","7","2"
"43","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","29","1642.9192871839987","0.38841991400053244","612","285","4942","5638","5","27","27","2","0"
"74","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","27","372.1134984699999","1127.88650153","85","297","728","883","3","23","23","4","9"
"47","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","45","2198.350135562006","0.11163484399860701","911","243","6538","7549","8","42","42","3","1"
"46","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","53","1822.3627967640098","0.11547356600139835","857","211","5587","6546","8","44","44","9","0"
"76","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","35","298.57544418199996","1201.424555817997","67","265","733","876","3","29","29","6","11"
"45","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","41","1571.7210351780072","0.1271851079966071","713","262","5700","6503","2","35","35","6","1"
"75","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","41","363.385132424","1136.6148675759994","64","276","722","876","1","30","30","11","10"
"48","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","42","2151.277202012","0.3693509699947115","1060","261","7103","8245","2","34","34","8","1"
"73","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","18","616.0617189039996","883.9382810959974","104","334","776","984","31","18","18","0","3"
"77","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","24","432.6145526740001","1067.3854473259976","102","273","739","916","4","18","18","6","7"
"79","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","37","324.3456241539998","1175.6543758459975","44","281","727","854","9","29","29","8","9"
"80","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","27","384.0075666099998","1115.9924333899971","80","243","701","861","13","21","21","6","5"
"83","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","20","419.62200145999975","1080.377998539999","84","293","746","919","14","16","16","4","4"
"82","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","22","371.3124202619997","1128.6875797379976","78","333","822","976","9","18","18","4","4"
"81","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","24","376.47938361800016","1123.520616381997","77","269","752","913","14","20","20","4","4"
"61","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","55","527.2807588179992","972.7192411819968","162","224","1194","1443","2","44","44","11","4"
"78","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","24","456.8678263059996","1043.1321736939963","90","312","716","900","8","21","21","3","4"
"84","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","37","513.661187802","986.3388121979985","108","271","694","898","2","24","24","13","5"
"62","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","49","597.1584856259993","902.8415143739968","184","263","1891","2160","8","37","37","12","3"
"63","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","45","692.9371279499986","807.062872049997","255","252","2398","2739","2","34","34","11","2"
"64","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","31","1201.0649069379995","298.93509306200104","502","305","3008","3615","22","29","29","2","2"
"65","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","48","1303.3431245000006","196.65687550000075","516","273","3285","3904","10","43","43","5","0"
"66","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","54","1011.6116438259984","488.3883561739997","465","233","3806","4358","2","45","45","9","1"
"70","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","59","1300.6457974319992","199.35420256800083","659","194","5720","6453","1","43","43","16","1"
"69","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","65","1468.5986068280029","31.401393171995565","620","214","4728","5491","54","52","52","13","1"
"67","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","40","1454.548141708004","45.45185829200193","575","298","4594","5307","56","38","38","2","2"
"68","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","55","1182.0353807539993","317.9646192460036","536","226","4765","5394","5","47","47","8","0"
"98","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","17","450.9722353119998","1049.0277646879993","96","327","769","957","27","15","15","2","0"
"99","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","23","426.681175024","1073.318824975998","86","281","753","935","14","20","20","3","4"
"71","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","48","1779.3107938740056","0.019259410002465893","820","221","6439","7350","3","41","41","7","3"
"97","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","37","377.88628755999986","1122.113712439998","77","265","752","903","2","25","25","12","8"
"100","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","37","352.136560236","1147.863439763997","57","285","686","838","23","27","27","10","5"
"102","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","23","415.62724790600004","1084.372752094","87","295","752","917","8","22","22","1","11"
"72","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","45","1537.732307418006","0.41607318800081217","658","226","7312","8061","1","38","38","7","0"
"103","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","40","424.5955393039998","1075.4044606959967","66","270","636","812","6","29","29","11","6"
"101","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","16","479.3335780280001","1020.666421971998","117","323","804","1015","30","15","15","1","6"
"104","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","25","398.9438972619998","1101.0561027379993","74","309","723","884","12","23","23","2","9"
"105","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","26","378.9513393679997","1121.0486606319998","82","293","766","925","3","20","20","6","2"
"106","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","24","468.3260166679999","1031.6739833319966","80","275","662","857","46","19","19","5","4"
"108","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","38","327.95471505600005","1172.045284943999","92","253","642","803","4","27","27","11","6"
"107","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","26","342.35832539999984","1157.6416746000011","52","247","732","857","19","21","21","5","3"
"86","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","52","685.531025058","814.4689749419981","230","221","1717","2033","7","44","44","8","1"
"85","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","45","615.3183558140001","884.6816441859979","218","247","1271","1578","2","33","33","12","2"
"90","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","58","626.9138328939993","873.0861671059989","269","203","3762","4120","5","51","51","7","3"
"88","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","31","1209.5196803900005","290.480319609998","443","294","3140","3698","24","24","24","7","3"
"87","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","31","1271.5547252640024","228.44527473599885","410","294","2538","3070","37","30","30","1","3"
"91","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","36","1743.1623355280074","0.5083817579952181","669","252","4619","5369","4","30","30","6","1"
"92","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","44","1315.8467131920024","184.15328680799743","564","273","5169","5825","6","32","32","12","2"
"89","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","49","924.5564287159991","575.4435712840016","428","225","3309","3815","1","36","36","13","0"
"94","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","29","2216.114648012006","0.05920798799576632","970","284","6506","7572","2","27","27","2","1"
"121","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","32","400.735078062","1099.2649219379985","75","301","727","895","12","27","27","5","8"
"122","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","25","421.8217665799998","1078.1782334199977","76","299","758","933","8","21","21","4","7"
"96","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","50","1842.5099590899968","0.09819600999808875","794","203","6808","7685","8","40","40","10","1"
"93","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","38","2273.113617806011","0.10852033599800803","969","246","5648","6707","12","31","31","7","3"
"95","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","39","3110.4229032519856","0.14689951799873313","1151","227","6391","7642","4","34","34","5","1"
