"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/11/2020 22:51:11:197 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"82","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","11020.460756487959","10659","1736","662","197","11","619","222","784","13","25","25","25","0","955","12"
"85","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","35","10379.112658863973","10659","1644","890","117","8","464","151","815","4","14","14","21","0","833","10"
"84","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10793.545757527972","10659","1675","774","110","5","628","141","763","5","17","17","27","0","914","12"
"86","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","42","10689.95634110797","10659","1699","634","245","12","527","259","795","8","22","22","20","0","906","14"
"87","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","49","10815.001938595975","10659","1695","639","180","6","676","170","798","10","24","24","25","0","902","14"
"88","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","48","10861.12942437197","10659","1715","697","173","4","615","200","812","12","26","26","22","0","905","14"
"90","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","36","10649.14721964798","10659","1678","798","157","6","541","158","821","4","18","18","18","0","863","14"
"92","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","61","11288.58966134398","10659","1767","585","164","2","803","183","863","5","30","30","31","0","908","25"
"99","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10344.994422639998","10659","1613","696","120","5","616","158","790","7","18","18","26","0","826","11"
"91","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","10831.041724435974","10659","1747","613","252","4","589","273","877","4","16","16","29","0","874","12"
"93","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","10839.754068923965","10659","1701","728","146","5","638","162","804","9","22","22","28","0","904","13"
"96","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","49","10788.974754259974","10659","1726","633","219","10","633","203","769","10","28","28","21","0","959","18"
"95","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10751.784301423975","10659","1708","796","122","7","584","179","841","12","20","20","24","0","868","8"
