"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"02/16/2020 18:08:08:071 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","limitedFund?","random-riskThresh?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"93","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","27","3025.9429913540007","96","318","903","1089","11","24","24","3","7"
"102","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","22","3098.097847227999","78","267","1041","1173","2","16","16","6","3"
"103","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","19","2730.5320637039986","85","301","774","941","8","19","19","0","6"
"98","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","20","2848.0853860080006","71","330","839","989","11","19","19","1","4"
"101","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","25","3342.929256276003","114","312","1055","1246","13","19","19","6","6"
"100","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","16","3171.482782438001","67","329","1005","1158","41","14","14","2","2"
"104","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","25","2535.9220968760033","60","313","815","931","2","16","16","9","6"
"105","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","28","3005.9113775900046","96","257","909","1076","3","22","22","6","5"
"106","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","19","3098.761567694004","73","287","988","1124","5","16","16","3","6"
"107","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","40","3195.753182235999","80","276","1030","1194","10","27","27","13","7"
"108","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","14","3744.784359302006","111","305","1116","1310","19","12","12","2","6"
"109","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","32","2303.158271296004","60","257","707","829","0","19","19","13","3"
