"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"otherInf"
"02/20/2020 18:42:04:061 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","othersInf?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"77","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","134","2232.7604272440017","280","174","17","546","4","120","120","14","12"
"78","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","136","2217.0585228040013","306","148","22","548","9","116","116","20","13"
"80","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","128","2417.876386484001","328","185","15","592","6","110","110","18","12"
"79","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","125","2421.6995606800006","310","182","32","585","14","103","103","22","14"
"82","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","122","2869.5915774160035","382","186","25","663","8","116","116","6","20"
"81","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","128","2426.949668624003","286","170","23","558","14","109","109","19","11"
"83","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","132","2361.878750000002","301","165","36","566","4","120","120","12","14"
"86","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","138","2097.3441703600024","283","148","33","532","4","113","113","25","15"
"84","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","129","2396.0248502000036","331","187","14","592","11","107","107","22","15"
"85","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","133","2373.208811988001","282","170","36","549","2","115","115","18","14"
"87","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","130","2307.468349804002","291","148","21","534","9","119","119","11","10"
"89","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","124","2674.200802584002","335","179","24","611","9","116","116","8","16"
"88","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","127","2348.6395242880035","287","201","19","566","5","110","110","17","19"
"90","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","129","2488.7151960800006","331","174","20","578","6","114","114","15","15"
"92","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","136","2297.1413558000036","339","160","19","590","9","119","119","17","16"
"91","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","128","2644.7011048240024","357","178","18","608","1","115","115","13","19"
"93","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","129","2356.793448855999","310","168","17","563","6","120","120","9","22"
"94","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","129","2651.786924876006","347","191","24","625","4","115","115","14","13"
"95","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","133","2304.5821392960024","347","143","26","595","3","117","117","16","14"
"96","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","128","2216.2256002000017","309","157","39","574","5","112","112","16","9"
"98","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","131","2505.7465065880015","339","169","28","601","7","121","121","10","19"
"97","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","135","2501.7373476640028","316","161","40","587","7","123","123","12","11"
"99","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","127","2677.0800636040053","371","215","26","655","7","108","108","19","19"
"100","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","116","2579.261075744003","386","190","10","625","6","101","101","15","13"
