"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"01/17/2020 16:30:59:252 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","b1","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"86","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.01","1001","10","0","0","0","0","0","0","0","10","0"
"88","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.01","1001","16","0","0","0","0","0","0","0","16","0"
"91","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.02","1001","5","0","0","0","0","0","0","0","5","0"
"89","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.01","1001","9","0","0","0","0","0","0","0","9","0"
"90","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.01","1001","25","0","0","0","0","0","0","0","25","0"
"93","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.02","1001","6","0","0","0","0","0","0","0","6","0"
"98","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"95","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.02","1001","5","0","0","0","0","0","0","0","5","0"
"92","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.02","1001","5","0","0","0","0","0","0","0","5","0"
"96","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.03","1001","7","0","0","0","0","0","0","0","7","0"
"97","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"94","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.02","1001","8","0","0","0","0","0","0","0","8","0"
