"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"nonRandomWindow"
"02/20/2020 14:59:39:135 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","reduceWindows","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"94","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","52","5320.997267508002","0.002732491997322839","161","260","1640","1890","8","44","44","8","4"
"107","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","60","4641.702703584011","679.2972964160014","36","245","722","839","2","42","42","18","10"
"102","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","72","5320.951551899997","0.04844810000480937","91","186","1460","1633","2","55","55","17","3"
"109","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","54","5152.044319128001","168.95568087200292","37","259","795","921","4","43","43","11","9"
"104","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","57","5320.986417152002","0.013582847994684677","111","204","1574","1764","3","45","45","12","2"
"113","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","57","4547.994184480002","773.005815519991","35","214","681","792","2","41","41","16","11"
"111","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","58","4751.953100384004","569.0468996159857","46","230","727","872","6","52","52","6","7"
"106","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","63","5320.9686243119995","0.031375687995911505","88","216","1519","1706","1","57","57","6","8"
"108","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","57","5320.761187676","0.23881232399108487","108","227","1573","1780","4","52","52","5","5"
"110","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","62","5320.944143568007","0.05585643199160728","102","225","1607","1810","3","54","54","8","6"
