"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/16/2020 14:11:01:084 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","startingFund","increaseChance","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","limitedFund?","random-orgWindows?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"42","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","false","true","false","false","1000","35","0","0.014152804000384656","450","257","4284","4809","5","29","29","6","0"
"43","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","false","true","false","false","1000","44","0","0.00656920399822658","668","241","4427","5182","11","27","27","17","1"
"44","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","false","false","1000","39","0","0.0053792579997868906","717","245","5093","5906","14","33","33","6","0"
"45","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.01","0.3","0.03","true","false","true","true","true","false","true","false","false","1000","59","0","0.011209319999601286","612","240","5128","5837","5","48","48","11","3"
"46","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","false","false","1000","39","0","0.02220578199881218","669","246","6365","7127","23","32","32","7","0"
"47","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","false","false","1000","39","0","0.014764697999928078","1007","259","6620","7731","12","33","33","6","3"
"48","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","false","true","false","false","1000","53","0","0.015805694000056825","734","221","7019","7825","1","42","42","11","0"
"77","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.01","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","26","0","0.3367160999995513","108","286","743","936","9","19","19","7","5"
"74","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","40","0","0.004399139999716306","72","280","650","818","1","24","24","16","5"
"73","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","34","0","0.023022309997886126","75","244","693","827","2","20","20","14","6"
"76","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","33","0","0.018203995997461586","86","299","709","882","2","25","25","8","3"
"75","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","19","0","0.018270173998808037","105","306","727","925","11","13","13","6","3"
"78","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","9","0","0.16420225599917515","82","316","750","927","36","8","8","1","1"
"79","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","38","0","0.04942586199814181","80","258","667","827","0","23","23","15","6"
"81","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.01","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","31","0","0.02009438999737112","93","268","768","920","2","23","23","8","5"
"80","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","14","0","0.14848793200161658","73","292","749","919","16","12","12","2","4"
"82","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","44","0","0.02364444599764237","36","231","671","782","17","27","27","17","5"
"83","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","17","0","0.055203573999731415","71","322","791","963","38","14","14","3","4"
"84","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","false","true","true","false","1000","20","0","0.07522213799834088","110","299","776","947","0","12","12","8","4"
"62","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","false","true","1000","49","0","0.007019004000491158","183","245","1842","2108","3","36","36","13","4"
"64","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","false","true","false","true","1000","46","0","0.006600144000559194","355","234","2707","3161","5","34","34","12","3"
"61","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","false","true","1000","43","0","0.009167506000157921","137","247","1318","1535","10","29","29","14","3"
