"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"noDecay"
"05/17/2020 16:36:21:181 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","orgWindowGen","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"68","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","146","7956.880994500006","245","375","60","1319","2","103","103","43","13","946"
"72","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","125","7517.145776740003","364","361","69","1251","6","84","84","41","8","891"
"73","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","135","7097.766063264002","219","342","70","1147","3","97","97","38","12","805"
"71","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","127","7738.636674191993","328","359","43","1221","4","91","91","36","7","864"
"64","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","125","7604.3780578359965","350","325","48","1207","3","83","83","42","13","884"
"78","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","141","7045.356651704012","210","370","66","1165","4","92","92","49","10","797"
"79","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","132","7445.401950412004","296","366","57","1220","5","105","105","27","19","856"
"75","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","122","7926.719011500001","316","360","65","1263","3","89","89","33","13","903"
"76","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","143","7892.351305008018","237","387","51","1244","1","81","81","62","10","859"
"80","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","135","7723.473593775995","253","361","109","1277","7","84","84","51","8","916"
"74","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","129","8143.979255768006","350","356","62","1300","11","93","93","36","10","944"
"77","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","138","7572.0961056520055","267","334","58","1214","6","94","94","44","9","881"
"81","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","132","7222.982375436014","279","325","67","1188","6","97","97","35","12","865"
"82","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","124","7649.312703076007","318","309","120","1255","9","94","94","30","12","948"
"83","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","137","7206.631146032009","265","339","62","1192","3","93","93","44","9","853"
