"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numOpts"
"06/07/2020 23:50:03:726 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalAlreadyAdapted","totalOrgOpts","totalUtilizedOrgOpt","totalNonEligibleDisasterOpt"
"82","0.62","4","2","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","38","7876.357067976004","12606","1211","44","5","1112","10","13","13","25","0","319","99","3","110"
"84","0.62","4","6","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","10072.591129235987","12606","1541","61","31","1066","6","11","11","31","0","317","478","5","101"
"85","0.62","4","8","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","53","11594.16448845197","12606","1798","76","2","1112","12","29","29","24","0","564","690","17","115"
"89","0.62","4","16","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","53","15260.294075735927","12606","2461","70","7","1090","7","30","30","23","0","667","1373","23","57"
"90","0.62","4","18","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","17146.475256659887","12606","2783","145","5","1075","9","27","27","18","0","672","1718","19","116"
"86","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","13019.76066585196","12606","2020","66","5","1111","5","23","23","26","0","511","914","18","90"
"87","0.62","4","12","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","14541.091207615942","12606","2253","98","35","1086","7","23","23","21","0","558","1169","16","58"
"96","0.62","4","30","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","23026.277011395876","12606","3729","173","23","1099","3","23","23","16","0","751","2637","20","84"
"88","0.62","4","14","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","15148.047501723962","12606","2412","135","10","1112","14","28","28","14","0","542","1307","14","96"
"92","0.62","4","22","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","18605.36235044392","12606","2989","191","21","1093","8","28","28","16","0","661","1908","20","100"
"94","0.62","4","26","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","22207.152219903943","12606","3508","130","13","1097","2","24","24","15","0","765","2423","22","96"
"91","0.62","4","20","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","17860.246463135933","12606","2821","141","9","1075","12","24","24","16","0","604","1755","12","104"
"93","0.62","4","24","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","38","21233.245609135996","12606","3411","286","22","1119","4","20","20","18","0","688","2300","16","156"
"97","0.62","4","0","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","7015.916661391996","12606","1053","28","8","1053","11","11","11","29","0","283","0","0","93"
"100","0.62","4","6","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10325.763317919978","12606","1652","81","3","1142","14","21","21","23","0","359","518","7","118"
"99","0.62","4","4","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","48","9265.852981583992","12606","1412","31","7","1119","11","21","21","27","0","407","293","10","70"
"98","0.62","4","2","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","8088.872801948004","12606","1200","56","4","1087","16","18","18","31","0","439","113","2","129"
"95","0.62","4","28","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","23755.28094023591","12606","3915","219","9","1136","6","27","27","18","0","976","2797","21","76"
"104","0.62","4","14","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","51","14414.17436997196","12606","2270","58","4","1091","7","25","25","26","0","771","1186","18","52"
"107","0.62","4","20","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","18457.11496058789","12606","2977","131","12","1087","5","26","26","18","0","669","1902","21","78"
"101","0.62","4","8","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","11076.670590467957","12606","1749","101","23","1059","5","17","17","24","0","389","695","12","112"
"105","0.62","4","16","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","15663.330381611937","12606","2541","144","6","1096","6","23","23","19","0","536","1452","17","99"
"108","0.62","4","22","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","48","19597.568912371913","12606","3092","162","11","1084","4","32","32","16","0","798","2024","28","89"
"102","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12687.597749591947","12606","1978","95","7","1109","2","19","19","23","0","434","876","17","101"
"111","0.62","4","28","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","53","23549.010380711916","12606","3726","206","16","1120","7","30","30","23","0","1041","2622","23","90"
"106","0.62","4","18","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","16470.934317783933","12606","2674","211","10","1112","9","26","26","19","0","604","1568","17","117"
"109","0.62","4","24","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","19970.033893747877","12606","3252","211","3","1100","4","30","30","19","0","925","2160","26","147"
"103","0.62","4","12","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","52","14092.715252511947","12606","2234","101","11","1111","14","27","27","25","0","642","1126","13","98"
"110","0.62","4","26","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","21554.997351491962","12606","3533","127","12","1049","8","29","29","20","0","940","2498","21","43"
"112","0.62","4","30","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","24354.3140746518","12606","3898","186","15","1077","1","28","28","13","0","829","2839","27","100"
"114","0.62","4","2","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","36","8035.78834321201","12606","1187","61","9","1095","8","11","11","25","0","303","92","3","140"
