"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayAndWindow"
"06/08/2020 21:33:03:644 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","orgOptGen","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"67","0.6","4","10","0.3","4","4","1000","1","48","0.3","0","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","96","17575.552930111826","12606","2807","1090","410","15","1106","117","843","12","69","69","27","0","1970","57"
"80","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.006","12606","true","true","true","true","true","false","true","""diffused""","false","1000","63","16883.01795393592","12606","2750","1528","214","10","868","86","786","4","44","44","19","0","1970","40"
"73","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.018","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","49","17081.89261240801","12606","2748","1720","198","8","687","110","782","8","25","25","24","0","1970","17"
"74","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.021","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","61","17529.769878900017","12606","2798","1732","92","7","882","61","832","4","24","24","37","0","1970","20"
"77","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","55","17266.549861743973","12606","2785","1649","168","4","798","132","824","14","34","34","21","0","1970","20"
"79","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.003","12606","true","true","true","true","true","false","true","""diffused""","false","1000","65","17024.33675816791","12606","2756","1694","133","9","839","34","792","7","47","47","18","0","1970","41"
"75","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.024","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","52","17337.648133979972","12606","2755","1781","124","6","724","91","794","12","29","29","23","0","1970","17"
"78","0.6","4","10","0.3","4","4","1000","1","48","0.3","0","12606","true","true","true","true","true","false","true","""diffused""","false","1000","86","17477.963848187916","12606","2776","1186","461","21","964","78","816","3","66","66","20","0","1970","63"
"76","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.027","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","45","17430.275069703937","12606","2800","1882","136","1","683","74","838","8","24","24","21","0","1970","16"
"82","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.012","12606","true","true","true","true","true","false","true","""diffused""","false","1000","64","17233.00722699993","12606","2769","1540","211","4","910","67","806","2","37","37","27","0","1970","35"
"81","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.009","12606","true","true","true","true","true","false","true","""diffused""","false","1000","53","16996.231610607934","12606","2734","1659","282","12","622","124","770","2","35","35","18","0","1970","33"
"84","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.018","12606","true","true","true","true","true","false","true","""diffused""","false","1000","38","17488.264683215937","12606","2769","1881","187","8","581","86","808","4","26","26","12","0","1970","22"
"83","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.015","12606","true","true","true","true","true","false","true","""diffused""","false","1000","58","17258.203168323915","12606","2756","1668","189","14","764","76","791","6","45","45","13","0","1970","39"
"85","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.021","12606","true","true","true","true","true","false","true","""diffused""","false","1000","59","17277.1831657079","12606","2762","1742","145","9","760","71","800","4","35","35","24","0","1970","31"
"86","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.024","12606","true","true","true","true","true","false","true","""diffused""","false","1000","56","17236.05048492792","12606","2769","1796","119","5","732","74","807","7","43","43","13","0","1970","36"
"87","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.027","12606","true","true","true","true","true","false","true","""diffused""","false","1000","40","17308.521087403922","12606","2774","1939","169","8","519","114","814","7","25","25","15","0","1970","18"
"88","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","false","true","""diffused""","false","1000","50","17476.218777915896","12606","2789","1776","208","20","637","117","827","5","31","31","19","0","1970","26"
"93","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.012","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","50","17312.062277855865","12606","2750","1646","253","25","700","98","786","6","28","28","22","0","1970","22"
"92","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.009","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","65","17150.04654608397","12606","2752","1543","136","4","976","63","790","8","30","30","35","0","1970","22"
"90","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.003","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","57","17553.1708842279","12606","2791","1647","199","28","831","57","829","8","29","29","28","0","1970","21"
"96","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.021","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","59","17164.409346099957","12606","2746","1698","105","1","854","59","780","13","29","29","30","0","1970","16"
"89","0.6","4","10","0.3","4","4","1000","1","48","0.3","0","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","92","17093.543112251904","12606","2751","1119","337","5","1146","94","790","4","50","50","42","0","1970","46"
"91","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.006","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","67","16986.400501215896","12606","2727","1448","161","15","981","78","765","12","44","44","23","0","1970","32"
"95","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.018","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","61","17096.981620495953","12606","2722","1638","127","5","867","55","760","10","30","30","31","0","1970","20"
"103","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.009","12606","true","true","true","true","true","false","true","""diffused""","false","1000","60","17132.83020197593","12606","2730","1698","159","13","762","51","771","2","47","47","13","0","1970","45"
