"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChance2"
"06/10/2020 21:29:52:106 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"78","0.52","4","10","0.3","4","4","1000","1","0.08","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","54","10658.968969631991","0.031030368033754474","9290","4690","657","14","3839","58","824","5","32","32","22","0","8527","27"
"83","0.52","4","10","0.3","4","4","1000","1","0.03","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","51","10658.980676043948","0.01932395601406256","4015","1905","171","5","1848","55","816","2","31","31","20","0","3218","29"
"79","0.52","4","10","0.3","4","4","1000","1","0.09","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","10658.947289051986","0.052710948036545524","10544","5546","992","17","3867","94","810","1","28","28","14","0","9806","27"
"84","0.52","4","10","0.3","4","4","1000","1","0.04","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","10658.970528711981","0.029471288018536157","5201","2664","420","9","1996","82","830","4","30","30","14","0","4404","26"
"91","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","52","10658.968973515975","0.031026484008131128","1913","816","70","7","926","71","822","5","23","23","29","0","1097","18"
"87","0.52","4","10","0.3","4","4","1000","1","0.07","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","59","10658.959875463985","0.04012453603235677","8305","3508","780","15","3858","109","770","2","35","35","24","0","7594","33"
"93","0.52","4","10","0.3","4","4","1000","1","0.03","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","37","10658.964373703984","0.03562629601789613","4082","2156","334","25","1444","95","799","2","28","28","9","0","3307","26"
"85","0.52","4","10","0.3","4","4","1000","1","0.05","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","48","10658.978878899987","0.021121100017890804","6118","3043","352","21","2605","70","781","2","27","27","21","0","5373","26"
"86","0.52","4","10","0.3","4","4","1000","1","0.06","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","10658.943345187985","0.05665481203909506","7316","3715","479","15","3012","59","789","1","36","36","10","0","6586","35"
"88","0.52","4","10","0.3","4","4","1000","1","0.08","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","53","10658.974345103974","0.02565489603837179","9523","4728","318","18","4390","32","811","1","37","37","16","0","8763","36"
