"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"randomChance"
"06/11/2020 23:14:01:552 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","randomChance","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"83","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","39","5950.3258003200035","4701.674199680029","926","125","123","5","413","248","860","10","12","12","27","0","66","2"
"77","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0.001","true","true","true","true","false","true","true","false","1000","42","5928.825232035996","4723.174767964026","892","153","94","6","391","231","778","16","17","17","25","0","114","1"
"81","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","3.0E-4","true","true","true","true","false","true","true","false","1000","51","5877.306430911994","4774.693569088025","878","83","90","1","503","189","835","12","12","12","39","0","44","0"
"80","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","44","5865.666629576004","4786.333370424019","853","70","93","3","415","256","812","12","16","16","28","0","41","4"
"82","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","46","5651.894916703995","5000.105083296022","875","85","82","9","421","267","824","10","11","11","35","0","51","1"
"84","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","46","5754.447852452002","4897.552147548022","866","122","76","3","463","181","801","21","21","21","25","0","65","0"
"86","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","8.0E-4","true","true","true","true","false","true","true","false","1000","37","6095.424157123998","4556.57584287602","896","107","103","5","413","257","814","11","11","11","26","0","82","0"
"89","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","41","5011.960769695998","5640.039230304047","768","63","84","3","397","209","752","12","12","12","29","0","16","0"
"85","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","47","5841.8938302599945","4810.106169740047","889","111","80","8","464","208","828","18","18","18","29","0","62","0"
"87","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","37","5743.805969591998","4908.1940304080235","885","124","112","6","326","303","794","14","14","14","23","0","91","0"
