"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/07/2020 02:47:23:297 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpt","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOpportunitiesMissed","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpportunities","totalUtilizedDisasterOpportunities","totalUtilizedOpportunities","totalNeededOpportunities","sufficientCap","totalUtilized"
"67","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","47","12552.165547611958","38217","1197","1990","134","2","1088","7","27","27","20","0"
"66","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12179.18188777195","38217","1137","1910","138","6","1119","8","20","20","20","0"
"68","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","56","12967.417270867974","38217","1243","2050","69","5","1126","9","28","28","28","0"
"69","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","59","12489.557715979961","38217","998","1980","103","4","1134","14","30","30","29","0"
"74","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","37","13038.471773167943","38217","1442","2065","89","24","1122","10","19","19","18","0"
"70","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","12481.780178415942","38217","1273","1914","70","6","1069","7","16","16","28","0"
"76","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","12836.677486739924","38217","1274","1982","80","8","1090","2","14","14","37","0"
"73","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","45","13410.670661463922","38217","1361","2070","70","5","1195","8","20","20","25","0"
"72","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","35","12582.663471879961","38217","1387","1959","87","5","1113","7","13","13","22","0"
"75","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","12443.916582747941","38217","1128","1916","127","7","1053","7","23","23","18","0"
"71","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","58","12591.803915887973","38217","1198","1940","32","2","1080","8","29","29","29","0"
"77","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","13164.287119439945","38217","1098","2007","120","7","1159","8","20","20","30","0"
"78","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","12379.737320747943","38217","1266","1906","79","4","1067","5","12","12","32","0"
"80","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","37","12231.284711467973","38217","1276","1977","132","5","1055","5","22","22","15","0"
"81","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","56","12052.600602059967","38217","1083","1947","111","7","1141","10","21","21","35","0"
"79","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","13014.637640947933","38217","1276","2021","74","4","1115","11","31","31","20","0"
"82","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12285.667573107976","38217","1306","1931","94","11","1076","8","26","26","13","0"
"83","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","47","13192.043447891952","38217","1250","2068","96","0","1146","8","25","25","22","0"
"85","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","45","12826.940562591959","38217","1171","2038","161","7","1098","11","29","29","16","0"
"86","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","11952.38810307597","38217","1318","1888","89","5","1060","5","18","18","18","0"
"87","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","54","12897.556141707983","38217","1075","2024","85","5","1152","6","16","16","38","0"
"84","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","12699.243366807941","38217","1244","1944","120","4","1082","13","26","26","17","0"
"88","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","13177.648462383975","38217","1260","2063","141","10","1097","7","16","16","23","0"
