"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"adaptation"
"01/17/2020 15:20:21:738 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"139","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"138","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"140","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"141","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","3","0","0","0","0","0","0","0","3","0"
"143","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","1","0","0","0","0","0","0","0","1","0"
"148","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","5","0","0","0","0","0","0","0","5","0"
"142","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","9","0","0","0","0","0","0","0","9","0"
"145","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","3","0","0","0","0","0","0","0","3","0"
"146","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","0","0","0","0","0","0","0","0","0","0"
"144","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","2","0","0","0","0","0","0","0","2","0"
"147","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","8","0","0","0","0","0","0","0","8","0"
"150","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","2","0","0","0","0","0","0","0","2","0"
"151","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"149","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","7","0","0","0","0","0","0","0","7","0"
"157","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"159","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"154","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"152","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"158","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"156","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"155","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"165","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","2","0","0","0","0","0","0","0","2","0"
"160","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"163","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","3","0","0","0","0","0","0","0","3","0"
"166","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","2","0","0","0","0","0","0","0","2","0"
"153","0.8","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"164","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","2","0","0","0","0","0","0","0","2","0"
"161","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","5","0","0","0","0","0","0","0","5","0"
"162","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","0","0","0","0","0","0","0","0","0","0"
"167","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","1","0","0","0","0","0","0","0","1","0"
"168","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","1","0","0","0","0","0","0","0","1","0"
"169","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","0","0","0","0","0","0","0","0","0","0"
"170","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","6","0","0","0","0","0","0","0","6","0"
"173","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"176","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"175","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"178","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","2","0","0","0","0","0","0","0","2","0"
