"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayMemory"
"06/10/2020 21:56:16:729 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding"
"86","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.06","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","34","10658.983457983988"
"97","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","65","7228.991014512011"
"98","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","72","10658.972405139975"
"56","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","36","10658.977714227984"
"93","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","94","10501.284389239961"
"99","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","75","9388.767724871976"
"63","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","10658.698040995987"
"100","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","78","10658.94858483196"
"94","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","78","10658.981938459976"
"64","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","10658.954212439983"
"105","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","75","7680.093320916004"
"101","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","80","10658.91129735199"
"102","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","72","10658.987514487975"
"106","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","72","10658.985197643955"
"71","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","34","10658.521456383955"
"107","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","73","9298.84571913997"
"108","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","75","10658.980035711978"
"72","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","10658.956611183998"
"113","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","60","8301.097935355994"
"79","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","10658.639802607993"
"114","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","72","10658.989897627976"
"109","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","64","10583.829519795969"
"115","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","55","9045.674362132002"
"110","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","72","10658.947951899976"
"116","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","74","10658.99890737197"
"117","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","63","10577.314556719983"
"121","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.024","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","58","7541.77103994001"
"80","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","10658.946808679944"
"122","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.024","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","48","10658.966183487955"
"118","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","68","10658.940275899971"
"87","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.06","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","34","10658.954112107976"
"123","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.024","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","57","9000.166272451981"
"124","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.024","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","64","10658.993425931985"
"129","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","8091.9257064520025"
"95","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","98","10658.980880727982"
"88","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.06","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","32","10658.945115411952"
"125","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.024","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","62","10611.150785775986"
"131","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","9139.73070269997"
"132","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","10658.96057319599"
"126","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.024","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","10658.972582411983"
"130","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","56","10658.974645955966"
"96","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","80","10658.954910427996"
"133","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","50","10656.389235303974"
"137","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","8075.028176412004"
"103","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","63","10658.72086486398"
"139","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","27","8999.471088631979"
