"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"02/02/2020 00:02:46:083 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"59","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","1","0.01","true","true","true","1001","46","229","303","30","303","6","38","38","8","38"
"71","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0","0.03","true","true","true","1001","1","0","350","244","350","10","0","0","1","0"
"73","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.3","0","true","true","true","1001","34","68","280","7","280","2","13","13","21","13"
"114","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.6","0","true","false","true","1001","38","147","304","17","304","8","29","29","9","29"
"65","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0","0","true","true","true","1001","14","0","336","11","336","59","0","0","14","0"
"116","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.6","0.01","true","false","true","1001","56","128","292","25","292","3","31","31","25","31"
"67","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0","0.01","true","true","true","1001","7","0","328","18","328","36","0","0","7","0"
"61","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","1","0.02","true","true","true","1001","26","191","352","118","352","20","23","23","3","23"
"77","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.3","0.02","true","true","true","1001","12","43","330","118","330","34","10","10","2","10"
"118","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.6","0.02","true","false","true","1001","40","79","283","88","283","15","28","28","12","28"
"81","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.6","0","true","true","true","1001","39","149","326","11","326","25","29","29","10","29"
"83","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.6","0.01","true","true","true","1001","22","133","285","16","285","23","15","15","7","15"
"120","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.6","0.03","true","false","true","1001","15","43","331","234","331","7","9","9","6","9"
"87","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.6","0.03","true","true","true","1001","17","35","313","238","313","9","9","9","8","9"
"122","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","1","0","true","false","true","1001","57","188","236","10","236","1","37","37","20","37"
"75","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.3","0.01","true","true","true","1001","28","63","340","26","340","24","16","16","12","16"
"93","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","1","0.02","true","true","true","1001","29","126","278","111","278","27","14","14","15","14"
"124","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","1","0.01","true","false","true","1001","57","183","263","22","263","13","45","45","12","45"
"79","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.3","0.03","true","true","true","1001","15","20","323","235","323","12","4","4","11","4"
"126","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","1","0.02","true","false","true","1001","40","145","263","80","263","9","29","29","11","29"
"128","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","1","0.03","true","false","true","1001","13","64","330","245","330","11","10","10","3","10"
"91","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","1","0.01","true","true","true","1001","38","209","272","21","272","17","25","25","13","25"
"130","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0","0","true","false","true","1001","22","0","315","13","315","8","0","0","22","0"
"95","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","1","0.03","true","true","true","1001","22","56","304","231","304","7","10","10","12","10"
"132","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0","0.01","true","false","true","1001","4","0","356","39","356","79","0","0","4","0"
"134","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0","0.02","true","false","true","1001","4","0","331","117","331","33","0","0","4","0"
"136","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0","0.03","true","false","true","1001","1","0","335","254","335","15","0","0","1","0"
