"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"bigCap"
"05/16/2020 00:57:17:933 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","orgWindowGen","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"51","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","47","7280.791424839994","39","359","821","1201","4","23","23","24","3","843"
"55","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","45","7464.422175807998","39","349","898","1238","4","21","21","24","4","890"
"54","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","111","55832.49411791612","0","327","510","1208","0","0","0","111","0","883"
"58","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","114","53054.37363586815","0","328","428","1155","4","0","0","114","0","829"
"59","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","35","7620.410094344013","49","330","952","1246","4","14","14","21","1","919"
"56","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","106","54270.16146467617","0","374","474","1179","2","0","0","106","0","807"
"57","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","38","8132.715585204008","60","356","952","1298","8","20","20","18","4","944"
"60","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","105","56313.027537372145","0","334","568","1225","1","0","0","105","0","891"
"62","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","107","55241.799303472195","0","344","484","1198","1","0","0","107","0","857"
"61","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","38","7509.112307800026","57","328","912","1245","4","22","22","16","4","920"
"64","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","115","55814.683665468125","0","360","466","1210","2","0","0","115","0","850"
"65","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","46","7400.642313924005","49","369","888","1277","1","20","20","26","4","910"
"63","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","49","8009.877696516016","44","368","902","1282","3","22","22","27","9","915"
"66","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","119","59412.008774044145","0","357","450","1289","0","0","0","119","0","935"
"67","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","42","7852.146752996007","40","362","929","1311","4","21","21","21","2","953"
"69","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","37","7718.660742403995","48","342","949","1291","7","25","25","12","6","949"
"68","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","117","54869.60968336408","0","333","456","1185","3","0","0","117","0","852"
"71","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","45","7411.216149972014","46","356","879","1258","6","20","20","25","6","905"
"70","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","112","56869.672124692","0","327","527","1235","2","0","0","112","0","911"
"72","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","112","58053.35350363605","0","326","506","1262","0","0","0","112","0","936"
"76","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","117","58445.64115236807","0","369","510","1265","3","0","0","117","0","898"
"74","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","115","56644.05464929217","0","382","482","1232","2","0","0","115","0","855"
"73","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","43","7728.082661228011","56","394","862","1276","4","15","15","28","1","882"
"75","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","49","7666.639604224002","45","340","873","1257","2","22","22","27","4","920"
"78","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","123","57651.886973176166","0","371","463","1248","1","0","0","123","0","882"
"80","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","110","55179.387023328025","0","302","487","1201","0","0","0","110","0","901"
"77","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","42","7465.406998128005","51","350","873","1231","1","14","14","28","2","881"
"79","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","48","6649.468241092013","56","326","758","1120","6","23","23","25","4","794"
"81","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","52","7562.263984616003","45","371","893","1280","3","22","22","30","5","910"
"82","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","112","56551.23766333624","0","371","496","1225","0","0","0","112","0","860"
"85","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","37","7451.079773344007","75","347","835","1202","9","22","22","15","8","857"
"84","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","118","56451.94848484808","0","364","479","1226","0","0","0","118","0","864"
"86","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","117","54204.98442818408","0","330","420","1182","2","0","0","117","0","854"
"83","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","39","7979.256528836003","33","356","985","1305","7","14","14","25","2","954"
"89","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","33","7202.060259276015","62","342","919","1204","5","14","14","19","4","863"
"87","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","34","7473.755832988001","61","340","902","1207","3","14","14","20","4","869"
"88","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","108","56581.56804928014","0","339","512","1238","0","0","0","108","0","900"
"91","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","36","7477.03956976801","49","387","917","1243","5","18","18","18","4","858"
"93","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","29","6991.708445640014","58","360","948","1206","3","10","10","19","2","848"
"90","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","116","56985.130884440194","0","329","472","1235","1","0","0","116","0","907"
"92","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","109","56913.771645572066","0","334","520","1241","1","0","0","109","0","907"
"95","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","47","7943.803382235994","50","326","852","1246","2","25","25","22","4","921"
"94","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","109","57606.73159014011","0","326","516","1248","1","0","0","109","0","923"
"96","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","117","55713.68424760007","0","331","455","1216","0","0","0","117","0","889"
"98","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","114","54721.9483550201","0","327","498","1185","1","0","0","114","0","860"
"99","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","48","7484.903340352006","45","338","814","1212","4","26","26","22","6","877"
