"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 17:54:36:893 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"77","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","8.01","true","false","true","true","true","false","true","false","1000","86","4999.974269936007","0.02573006399193023","509","122","9517","10129","7","75","75","11","1"
"75","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","4500","8.01","true","false","true","true","true","false","true","false","1000","73","4499.985794956006","0.014205043995321631","1024","181","10038","11158","7","68","68","5","1"
"80","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","8.01","true","false","true","true","true","false","true","false","1000","79","5499.992579680014","0.007420319987051727","936","167","9462","10497","5","68","68","11","1"
"85","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","9.01","true","false","true","true","true","false","true","false","1000","81","4999.942724539999","0.057275459988910704","776","173","10253","11134","8","71","71","10","0"
"83","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","4500","9.01","true","false","true","true","true","false","true","false","1000","70","4499.989484751998","0.01051524799255521","1027","178","11638","12767","8","65","65","5","1"
"78","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","8.01","true","false","true","true","true","false","true","false","1000","75","4999.9863009280025","0.013699071997874235","978","184","9981","11056","4","68","68","7","1"
"81","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5500","8.01","true","false","true","true","true","false","true","false","1000","79","5499.960239652003","0.03976034799884465","894","158","9841","10838","4","74","74","5","0"
"88","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","9.01","true","false","true","true","true","false","true","false","1000","90","5499.976849080012","0.023150919996521857","837","162","9214","10158","10","73","73","17","1"
"84","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","4500","9.01","true","false","true","true","true","false","true","false","1000","84","4499.949858611997","0.0501413879901591","1017","155","10210","11336","6","72","72","12","1"
"91","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","0.01","true","false","true","true","true","false","true","false","1000","55","4499.993093528002","0.006906471992554231","75","211","1591","1737","3","46","46","9","4"
"86","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","9.01","true","false","true","true","true","false","true","false","1000","88","4999.989286600001","0.01071340000301424","983","164","9951","11039","3","79","79","9","0"
"94","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","0.01","true","false","true","true","true","false","true","false","1000","51","4999.992605795996","0.0073942040029182365","99","231","1514","1703","1","48","48","3","4"
"97","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","0.01","true","false","true","true","true","false","true","false","1000","68","5499.779554368009","0.2204456319953576","72","220","1383","1554","7","53","53","15","4"
"92","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","4500","0.01","true","false","true","true","true","false","true","false","1000","64","4499.988513136011","0.011486863991828855","111","234","1443","1665","9","58","58","6","1"
"95","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","0.01","true","false","true","true","true","false","true","false","1000","60","4999.980859464002","0.01914053599774368","71","199","1400","1564","7","54","54","6","4"
"89","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","9.01","true","false","true","true","true","false","true","false","1000","88","5499.953009979998","0.0469900199936637","808","180","10309","11227","9","77","77","11","1"
"87","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","9.01","true","false","true","true","true","false","true","false","1000","80","4999.962641151997","0.0373588480018201","1001","203","10691","11804","5","70","70","10","0"
"100","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","1.01","true","false","true","true","true","false","true","false","1000","74","4499.9990429120035","9.570880040428165E-4","162","179","2358","2620","1","69","69","5","5"
"103","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","1.01","true","false","true","true","true","false","true","false","1000","80","4999.990372999997","0.009626999996707575","161","154","2278","2537","6","65","65","15","2"
