"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","run_id","run_duration"
"96",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,139,39,131,275,407,569,0,31,31,8,16,22.9796395301819
"97",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,132,25,130,283,363,526,9,24,24,1,18,14.989551782608
"98",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,132,35,87,262,365,475,0,23,23,12,20,14.3593020439148
"99",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,130,20,131,277,363,516,3,19,19,1,17,14.1871724128723
"100",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,128,22,117,291,368,508,5,18,18,4,15,13.4691684246063
"101",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,134,31,60,294,270,356,7,19,19,12,9,13.8124363422394
"102",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,138,19,83,273,260,370,12,15,15,4,11,14.3113493919373
"103",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,126,40,77,318,228,341,6,30,30,10,7,14.9242134094238
"104",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,137,25,78,287,240,341,5,18,18,7,4,15.0968234539032
"105",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,135,19,49,284,285,354,9,11,11,8,6,15.2731356620789
"106",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,141,17,93,280,247,362,6,16,16,1,8,15.610274553299
"107",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,134,30,79,252,247,342,2,14,14,16,10,13.1610951423645
"108",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,128,37,84,288,229,339,4,22,22,15,12,40.6106753349304
"109",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,136,22,75,301,288,378,3,12,12,10,1,23.6206369400024
