"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numWindows"
"02/18/2020 00:38:57:572 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","limitedFund?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"72","0.3","4","0.08","30","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","59","11641.27685991201","126","248","2008","2227","13","44","44","15","0"
"75","0.3","4","0.08","33","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","60","12965.145475519905","156","213","2156","2404","10","46","46","14","5"
"74","0.3","4","0.08","32","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","57","11430.589136191991","214","220","1921","2228","1","48","48","9","4"
"77","0.3","4","0.08","35","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","64","13355.83622260798","191","212","2148","2444","8","52","52","12","3"
"76","0.3","4","0.08","34","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","67","12790.528158875964","188","216","2070","2343","4","53","53","14","6"
"78","0.3","4","0.08","36","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","51","14277.213340759894","282","241","2266","2652","9","49","49","2","5"
"79","0.3","4","0.08","37","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","66","13130.950153519954","158","210","2290","2531","2","53","53","13","3"
"80","0.3","4","0.08","38","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","62","15119.700592095913","226","238","2522","2852","4","54","54","8","3"
"81","0.3","4","0.08","39","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","58","15439.959151415933","211","197","2616","2914","8","54","54","4","3"
"82","0.3","4","0.08","40","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","60","15105.88064239994","224","225","2423","2749","1","51","51","9","3"
"84","0.3","4","0.08","1","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","22","1568.1500188960024","13","303","222","303","2","9","9","13","9"
"87","0.3","4","0.08","4","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","22","2916.8055973000005","45","305","406","530","11","17","17","5","12"
"86","0.3","4","0.08","3","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","27","2598.2455323880017","27","313","357","476","10","20","20","7","8"
"85","0.3","4","0.08","2","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","26","2157.580459284001","28","301","275","390","3","18","18","8","10"
"83","0.3","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","18","1666.9367232640002","10","303","225","303","7","9","9","9","9"
"88","0.3","4","0.08","5","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","38","2956.4769178680017","41","252","462","576","0","22","22","16","5"
"90","0.3","4","0.08","7","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","41","3914.1997598680036","34","264","645","756","8","25","25","16","7"
"89","0.3","4","0.08","6","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","33","3788.887941608001","66","283","549","702","5","24","24","9","9"
"93","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","40","5376.712787436006","65","250","865","1001","3","35","35","5","6"
"92","0.3","4","0.08","9","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","49","4795.481619775998","54","246","730","881","1","40","40","9","8"
"94","0.3","4","0.08","11","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","47","5240.930759872004","56","240","852","996","1","36","36","11","5"
"91","0.3","4","0.08","8","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","30","5066.569543388008","54","286","734","875","13","26","26","4","9"
"95","0.3","4","0.08","12","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","46","5991.52506088001","70","247","939","1111","10","40","40","6","5"
"97","0.3","4","0.08","14","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","48","6277.849106471995","112","242","989","1191","2","39","39","9","4"
"96","0.3","4","0.08","13","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","49","5938.23202685201","88","257","962","1131","4","37","37","12","6"
"98","0.3","4","0.08","15","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","43","7530.699694944017","98","271","1160","1344","5","29","29","14","4"
"101","0.3","4","0.08","18","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","50","7932.579375424015","70","222","1245","1391","4","42","42","8","4"
