agencyid,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
9033,0.08,0.025,4.813560636,4.966783722,4.851360402
5035,0.107,0.035,5.274828846,5.412880336,5.338177309
8001,0.08,0.025,4.812455168,4.949541938,4.823907885
9015,0.08,0.025,4.820390927,4.952500223,4.873805734
3083,0.125,0.05,6.258125864,6.373065117,6.333121579
7006,0.107,0.035,5.275956828,5.428378987,5.318165666
3094,0.125,0.05,6.249183808,6.355375526,6.341628319
3073,0.125,0.05,6.254685861,6.366877858,6.322436273
3034,0.125,0.05,6.26359687,6.370615897,6.350156112
3045,0.125,0.05,6.26108301,6.3746689,6.342580934
